Name,Task,Phase,Trial,Leg,StartTime,EndTime
280,Perspective Taking,Waterfall,Tree,Arch,2023-10-06T02:46:57Z,2023-10-06T02:47:56Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:47:56Z,2023-10-06T02:48:01Z
280,Perspective Taking,Rocket,Tree,Waterfall,2023-10-06T02:48:01Z,2023-10-06T02:48:17Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:48:17Z,2023-10-06T02:48:22Z
280,Perspective Taking,Arch,Waterfall,Rocket,2023-10-06T02:48:22Z,2023-10-06T02:48:40Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:48:40Z,2023-10-06T02:48:45Z
280,Perspective Taking,Tree,Rocket,Waterfall,2023-10-06T02:48:45Z,2023-10-06T02:49:01Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:49:01Z,2023-10-06T02:49:06Z
280,Perspective Taking,Arch,Waterfall,Tree,2023-10-06T02:49:06Z,2023-10-06T02:49:23Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:49:23Z,2023-10-06T02:49:28Z
280,Perspective Taking,Waterfall,Rocket,Tree,2023-10-06T02:49:28Z,2023-10-06T02:49:51Z
282,Training,Rotation,R 90,NA,2023-10-10T06:41:24Z,2023-10-10T06:41:39Z
282,Training,Transition,NA,NA,2023-10-10T06:41:39Z,2023-10-10T06:41:44Z
282,Training,Rotation,Returning R 90,NA,2023-10-10T06:41:44Z,2023-10-10T06:42:00Z
282,Training,Transition,NA,NA,2023-10-10T06:42:00Z,2023-10-10T06:42:03Z
282,Training,Rotation,R 45,NA,2023-10-10T06:42:03Z,2023-10-10T06:42:12Z
282,Training,Transition,NA,NA,2023-10-10T06:42:12Z,2023-10-10T06:42:16Z
282,Training,Rotation,Returning R 45,NA,2023-10-10T06:42:16Z,2023-10-10T06:42:28Z
282,Training,Transition,NA,NA,2023-10-10T06:42:28Z,2023-10-10T06:42:41Z
282,Training,Movement,1,NA,2023-10-10T06:42:41Z,2023-10-10T06:42:57Z
282,Training,Transition,NA,NA,2023-10-10T06:42:57Z,2023-10-10T06:42:57Z
282,Training,Movement,2,NA,2023-10-10T06:42:57Z,2023-10-10T06:43:21Z
282,Training,Transition,NA,NA,2023-10-10T06:43:21Z,2023-10-10T06:43:23Z
282,Training,Movement,3,NA,2023-10-10T06:43:23Z,2023-10-10T06:43:38Z
282,Training,Transition,NA,NA,2023-10-10T06:43:38Z,2023-10-10T06:43:38Z
282,Training,Movement,4,NA,2023-10-10T06:43:38Z,2023-10-10T06:43:48Z
282,Training,Transition,NA,NA,2023-10-10T06:43:48Z,2023-10-10T06:43:58Z
282,Training,HomingMultiLegs,T1.L1,NA,2023-10-10T06:43:58Z,2023-10-10T06:43:58Z
282,Training,Transition,NA,NA,2023-10-10T06:43:58Z,2023-10-10T06:44:20Z
282,Training,HomingMultiLegs,T1.L2,NA,2023-10-10T06:44:20Z,2023-10-10T06:44:20Z
282,Training,Transition,NA,NA,2023-10-10T06:44:20Z,2023-10-10T06:44:49Z
282,Training,HomingMultiLegs,T1.L3,NA,2023-10-10T06:44:49Z,2023-10-10T06:44:49Z
282,Training,Transition,NA,NA,2023-10-10T06:44:49Z,2023-10-10T06:46:49Z
282,Training,HomingMultiLegs,T2.L1,NA,2023-10-10T06:46:49Z,2023-10-10T06:46:49Z
